levelName;correct;score
hospital-outside;9;900
supermarket;10;950
school-outside;11;1100
hospital-outside;10;600
supermarket;12;1100
school-outside;8;600
supermarket;15;1400
supermarket;11;800
hospital-outside;14;1400
school-outside;14;1150
hospital-outside;10;850
supermarket;9;750
school-outside;15;1500
hospital-outside;11;1100
supermarket;12;1100
school-outside;12;1200
hospital-outside;10;650
supermarket;10;-1900
school-outside;8;750
hospital-outside;13;1200
supermarket;12;1200
school-outside;13;1300
hospital-outside;10;100
supermarket;11;600
school-outside;7;-400
